what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201402142303,"org.eclipse.cdt.debug.mi.ui",1403697586777
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.4.0.201402142303,"org.eclipse.cdt.dsf.gdb.ui",1403697586778
stopped,bundle,org.eclipse.cdt.dsf.ui,2.4.0.201402142303,"org.eclipse.cdt.dsf.ui",1403697586779
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201402142303,"org.eclipse.cdt.gdb.ui",1403697586780
stopped,bundle,org.eclipse.cdt.dsf.gdb,4.3.0.201402142303,"org.eclipse.cdt.dsf.gdb",1403697586780
stopped,bundle,org.eclipse.cdt.launch,7.1.0.201402142303,"org.eclipse.cdt.launch",1403697586781
stopped,bundle,org.eclipse.cdt.debug.ui,7.3.0.201402142303,"org.eclipse.cdt.debug.ui",1403697586783
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,8.2.1.201402142303,"org.eclipse.cdt.managedbuilder.ui",1403697586784
stopped,bundle,org.eclipse.cdt.make.ui,7.2.0.201402142303,"org.eclipse.cdt.make.ui",1403697586784
stopped,bundle,org.eclipse.cdt.ui,5.7.0.201402142303,"org.eclipse.cdt.ui",1403697586784
stopped,bundle,org.eclipse.jpt.jpa.annotate,1.0.0.v201304102025,"org.eclipse.jpt.jpa.annotate",1403697586784
stopped,bundle,org.eclipse.jpt.jpa.eclipselink.core.ddlgen,2.2.0.v201212040155,"org.eclipse.jpt.jpa.eclipselink.core.ddlgen",1403697586785
stopped,bundle,org.eclipse.jpt.jpa.eclipselink.core,2.3.0.v201304302343,"org.eclipse.jpt.jpa.eclipselink.core",1403697586786
stopped,bundle,org.eclipse.jpt.jpa.gen,2.3.0.v201305312216,"org.eclipse.jpt.jpa.gen",1403697586787
stopped,bundle,org.eclipse.jpt.jpa.core,3.3.0.v201305312216,"org.eclipse.jpt.jpa.core",1403697586788
stopped,bundle,org.eclipse.jpt.jpa.db.ui,2.1.0.v201212040155,"org.eclipse.jpt.jpa.db.ui",1403697586789
stopped,bundle,org.eclipse.jpt.jpa.db,2.2.0.v201303280008,"org.eclipse.jpt.jpa.db",1403697586791
stopped,bundle,org.eclipse.datatools.enablement.jdt.classpath,1.0.1.v201107221501,"org.eclipse.datatools.enablement.jdt.classpath",1403697586791
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20120516-0617,"org.eclipse.jdt.apt.ui",1403697586792
stopped,bundle,org.eclipse.jpt.common.ui,1.3.0.v201305171828,"org.eclipse.jpt.common.ui",1403697586793
stopped,bundle,org.eclipse.jst.common.annotations.ui,1.1.300.v201002081900,"org.eclipse.jst.common.annotations.ui",1403697586793
stopped,bundle,org.eclipse.jst.ws.jaxrs.ui,1.0.600.v201305012042,"org.eclipse.jst.ws.jaxrs.ui",1403697586794
stopped,bundle,org.eclipse.jst.common.project.facet.ui,1.4.200.v201008182133,"org.eclipse.jst.common.project.facet.ui",1403697586795
stopped,bundle,org.eclipse.jst.common.ui,1.0.201.v201208292200,"org.eclipse.jst.common.ui",1403697586795
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.emitter,1.1.200.v200909290826,"org.eclipse.jst.j2ee.ejb.annotations.emitter",1403697586796
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.core,1.0.201.v201301072322,"org.eclipse.jst.ws.cxf.consumption.core",1403697586796
stopped,bundle,org.eclipse.jst.ws.cxf.creation.core,1.0.300.v201303132105,"org.eclipse.jst.ws.cxf.creation.core",1403697586797
stopped,bundle,org.eclipse.jst.ws.cxf.ui,1.0.200.v201203062228,"org.eclipse.jst.ws.cxf.ui",1403697586798
stopped,bundle,org.eclipse.jst.ws.cxf.core,1.1.100.v201303142315,"org.eclipse.jst.ws.cxf.core",1403697586798
stopped,bundle,org.eclipse.jst.ws.jaxb.core,1.0.100.v201104031139,"org.eclipse.jst.ws.jaxb.core",1403697586799
stopped,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.300.v201302270042,"org.eclipse.jst.ws.jaxws.ui",1403697586799
stopped,bundle,org.eclipse.jst.ws.jaxws.core,1.0.300.v201304072043,"org.eclipse.jst.ws.jaxws.core",1403697586800
stopped,bundle,org.eclipse.jst.ws.annotations.core,1.2.100.v201304072043,"org.eclipse.jst.ws.annotations.core",1403697586801
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1403697586801
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.500.v201004211805,"org.eclipse.jst.ws.uddiregistry",1403697586801
stopped,bundle,org.eclipse.jst.ws.ui,1.0.403.v201004211805,"org.eclipse.jst.ws.ui",1403697586802
stopped,bundle,org.eclipse.m2e.wtp,1.0.0.20130612-1742,"org.eclipse.m2e.wtp",1403697586802
stopped,bundle,org.eclipse.m2e.jdt,1.4.0.20130601-0317,"org.eclipse.m2e.jdt",1403697586803
stopped,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1403697586803
stopped,bundle,org.tigris.subversion.subclipse.graph,1.0.9,"org.tigris.subversion.subclipse.graph",1403697586805
stopped,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1403697586805
stopped,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1403697586805
